threads,exec_time
1,229674
2,126539
3,7636
4,8421
5,7322
6,7200
7,7369
8,8445
9,8240
10,7705
11,6982
12,6998
13,6748
14,6599
15,7905
16,6903
17,7705
18,8016
19,83253
