threads,exec_time
1,333381
2,59208
3,22807
4,22886
5,19938
6,20683
7,22202
8,20384
9,21270
10,18567
11,19093
12,20025
13,88205
14,38480
15,39538
16,21175
17,20300
18,20649
19,19238
